1067,SC,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,SA,M,18,1,AD,WSC
1068,MM,15,Y,PSE,OC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,M,30,2,AD,ENC
1069,MM,20,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,SA,M,30,3,BA,MA
1070,MM,15,D,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,NO,O,0,5,OT,P
1071,MM,10,MM,OC,PSB,0,0,0,0,0,1,0,0,0,0,0,2,2,2,LS,M,18,2,GD,MT
1072,MM,20,Y,OC,PSB,0,0,1,0,0,0,0,0,0,0,0,2,1,0,AE,M,30,3,BA,WNC
1073,MM,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,CM,M,30,5,BA,PAC
1074,MM,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,30,1,AD,WNC
1075,MM,25,D,SB,SB,1,0,0,0,0,0,0,0,0,0,0,3,4,2,SA,M,45,5,GD,ENC
1076,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,MA,M,45,5,HS,WSC
1077,MM,20,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,BS,M,45,3,AD,PAC
1078,MM,20,M,PSE,SB,0,0,1,0,0,1,0,0,0,1,0,2,3,0,HC,M,45,2,GD,NE
1079,SC,1,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,30,5,BA,PAC
1080,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,30,3,BA,SA
1081,MM,5,D,OC,PSB,0,0,0,0,0,1,0,0,0,0,1,0,0,2,BS,M,18,4,GD,MA
1082,MM,20,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,30,1,HS,PAC
1083,MM,15,MM,OC,PSB,1,1,0,1,0,0,0,1,0,0,0,2,2,1,BC,M,45,1,AD,WNC
1084,MM,15,Y,OC,PSB,1,0,0,0,0,0,0,0,1,0,0,1,1,0,BS,M,30,3,BA,WNC
1085,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,PR,O,0,5,OT,P
